ADBE
AKAM
AMZN
AAL
AMGN
ADI
AAPL
AMAT
ADSK
ADP
AVGO
BIDU
BIIB
CHRW
CHKP
CSCO
CTSH
CMCSA
COST
DLTR
EBAY
EA
EQIX
EXPD
META
FAST
GRMN
GILD
GOOG
HSIC
ILMN
INTC
INTU
ISRG
KLAC
LRCX
LBTYA
MAR
MAT
MU
MSFT
MDLZ
MNST
NTAP
NFLX
NVDA
NXPI
ORLY
PCAR
PAYX
QCOM
REGN
ROST
SBAC
STX
SIRI
SBUX
SRCL
TSLA
TXN
TSCO
TRIP
VRSK
VRTX
VIP
VOD
WDC
WYNN
