FOXA
ALXN
ATVI
BBBY
CA
CELG
CERN
CTRX
CTXS
DISH
DTV
ESRX
FISV
GMCR
LLTC
SIAL
SNDK
SPLS
WFM
XLNX
YHOO
ALTR
CHTR
