,2015-1,2015-2,2015-3,2015-4,2015-5,2015-6,2015-7,2015-8,2015-9,2015-10,2015-11,2015-12,2016-1,2016-2,2016-3,2016-4,2016-5,2016-6,2016-7,2016-8,2016-9,2016-10,2016-11,2016-12,2017-1,2017-2,2017-3,2017-4,2017-5,2017-6,2017-7,2017-8,2017-9,2017-10,2017-11,2017-12,2018-1,2018-2,2018-3,2018-4,2018-5,2018-6,2018-7,2018-8,2018-9,2018-10,2018-11,2018-12,2019-1,2019-2,2019-3,2019-4,2019-5,2019-6,2019-7,2019-8,2019-9,2019-10,2019-11,2019-12
AVGO,-0.0058152241668814,-0.007268903602171177,-0.009877445580917767,-0.01159125148015483,-0.011569934358391194,-0.01041183366251533,-0.009501643145283255,-0.014327346661886715,-0.009794137443968103,-0.013401425145027079,-0.011383785986880283,-0.01736589748893788,-0.00966436989063613,-0.007004194736053734,-0.002852344850744072,-0.0017376030786944467,-0.001547987186488845,-0.002433541453813831,-0.0029811258858850973,-0.005250532530597679,-0.0014762408592224109,-0.0015726112796243018,-0.00026162128214071733,-0.0017031442120957626,-0.002661626662767972,-0.00018415550507009174,-0.0019033801991752172,7.856084317250933e-05,-8.479924515925052e-05,-0.0018519896587680246,0.0019518420144487292,0.001496633035315234,7.140841556067812e-05,-0.0011105104866783733,-0.00036642183068958355,-0.0005793122641817895,-0.003019949914001986,-0.006375875789647925,-0.004336043700881628,0.0009950633228125918,0.004438697404152914,0.004855408791850795,0.0033822444105756026,0.00012971357188572112,-0.0014468311496391804,0.003753877079600093,0.006596655290446245,0.008704298975210502,0.01850166436864227,0.016161671442501233,0.013815582137567797,0.014812287871139175,0.013718688822333673,0.011953257875602544,0.01145734577406022,0.010009496874829625,0.008498209816392224,0.01004715342345977,0.010877140346831949,0.01326641133044678
BIDU,0.004464067985390291,0.0018034192741666084,-0.00036244566666035136,0.0010740634935411048,0.0008342771869204952,0.00010418711374306482,0.0015931219161065043,0.003556039775611268,0.0012661529367518042,0.004872574901154545,0.005849350667097951,0.005344459063267457,0.004228384607925916,0.004402911114806601,0.008727909835468034,0.008674082042710517,0.010382101325929826,0.008553001016404826,0.008302971338159952,0.007000297499462205,0.009190508830771054,0.008983052897050831,0.007573228624277392,0.006861600314082667,0.0070998719551035394,0.005576845172464606,0.004708501847048299,0.0017847083868884756,0.00106474518051701,0.001007038918800593,0.0011795949939466532,0.0033508750668063136,0.00265878392487107,0.004972051250527238,0.004769781672728514,0.004105303150264479,0.002823996259561921,0.0014996466196183673,4.106379820702569e-05,-0.003291669785910098,-0.0011505368803300647,-0.0018439894203780803,-0.00216548234606667,-0.0020196712648167057,-0.003139114197541098,-0.0024203151858488824,-0.00045213924824452634,-0.0011943547030036142,0.0007229828466568111,-0.0017613944543780485,-0.004086284327432577,-0.004417174576914054,-0.005628234981608655,-0.009466944658888001,-0.009261414471171861,-0.010667546977924488,-0.011078050687457135,-0.00933822273014381,-0.011141290493935632,-0.008887787981509434
BIIB,0.016508375368852034,0.0184758202013518,0.01726378625750738,0.017778641045503234,0.014475319810054014,0.0139188638589872,0.013901238925376506,0.014387929899390998,0.010186126700795368,0.01240720561192899,0.009448327609509132,0.01204117439116359,0.012508693720164147,0.014231556430316716,0.013152269964887428,0.012575388256619142,0.017223860989850175,0.017039867780529957,0.013533549717453961,0.01677339513482215,0.021943382045507127,0.02217404608716305,0.02081842484678377,0.021150164583745943,0.02084255878717696,0.018692215295100074,0.018667783700335953,0.018729568691440712,0.01762576496476595,0.016140625762200433,0.016878253741670513,0.016893342856044852,0.017503975422805615,0.018151560434650833,0.021917119054342984,0.02255183207321564,0.022265837705196752,0.021144659437377138,0.020660528773692614,0.02108553185437407,0.023340730181423432,0.024853697482656513,0.02171407860354729,0.01868557057853481,0.017607224665222708,0.01702727925941462,0.019095260763540768,0.01933031222399861,0.021305366738857107,0.021216009330722693,0.0193275623575294,0.010834299989138565,0.010565779160090317,0.012624077519592564,0.01281859689929336,0.01370801559968499,0.012189392227514546,0.01548519475159736,0.02294961949531285,0.02134826929565053
CHRW,0.04864532316051426,0.0449275525198971,0.047298839678516516,0.0452632974486949,0.03859620502484866,0.03816427517728576,0.03737859113022271,0.03935926077334096,0.031866448295396005,0.035300733876106674,0.03424584211498563,0.03823264873309247,0.037978148080316014,0.051220578615172443,0.06240768471487387,0.06247352545440006,0.05803484310546877,0.06444197503613752,0.06622841887807837,0.062329571527676486,0.059889642620928545,0.06247767600006973,0.05896801788466631,0.06395284467161813,0.06402904205172852,0.06618202461521268,0.06648826487688733,0.06418851865519104,0.05915521192161104,0.059953918705166434,0.05696750651941537,0.05108589288448673,0.05793074738070454,0.05569876276955913,0.0588566988776889,0.059593043976200806,0.06031277214322238,0.06025931226578218,0.06708783794620357,0.0710892114143111,0.0697452889201451,0.059066853102306555,0.05806546065853487,0.058307531380161357,0.06025624739265501,0.06025276628832867,0.05979165343638552,0.05720071627996821,0.061984298138310606,0.06208704965395666,0.062234865395448535,0.05893042322933996,0.04836732129703711,0.053119094804296274,0.05553354495713237,0.05492824007637754,0.060664952474377434,0.05906764518177018,0.05305876381995718,0.051200740211507535
CHKP,0.05553595921156166,0.058584352617643415,0.06060155082546918,0.059989298199922145,0.05657818603879616,0.058032447572002085,0.057031872005577834,0.06328756793070743,0.07145557688050885,0.0764192025010035,0.07477888450111012,0.08097670858795279,0.0777735702300813,0.0748034254173818,0.0787377360896247,0.07887838888196808,0.07424163664693907,0.07402735325416801,0.07242328368716877,0.06974612482196337,0.06990079791990209,0.07220035361038743,0.07749814879853271,0.07772266589799944,0.08011129531556535,0.08680428409826133,0.08623686258086612,0.08651297463786235,0.08604122657797081,0.08717477876190254,0.08384866831732377,0.07886805434901634,0.08175260123316855,0.08272736225518174,0.08277501445751512,0.07365640493174824,0.07320191132107029,0.07177703307146059,0.07810141437397139,0.08055211072569998,0.07915685028927262,0.07920055782145222,0.07911381571550224,0.08041442960908238,0.08085920431311364,0.0809408022211241,0.08485907811022864,0.0814203437434477,0.08521365005686968,0.08595480975100922,0.08778885296922062,0.0893588166558785,0.08293527034726648,0.08124534847324084,0.08189654869657409,0.08185062226931313,0.08332729352900417,0.08434531975438905,0.0829673130368062,0.08271079353550055
CSCO,0.02312277630554513,0.02244751372153661,0.022660891885546982,0.0231769828923794,0.022544773203473343,0.02369133022393549,0.023052427372831752,0.02668909696944754,0.024227193325931356,0.025221808109286568,0.021955486543813917,0.01801776599424032,0.01736626406632799,0.010493957497615565,0.012551753517563873,0.01212473121360187,0.011769922553784914,0.010357558854875196,0.011782996346064303,0.014533236084277635,0.014387675387228134,0.012590519803702295,0.010658579026954622,0.009203258618338416,0.007917707381420181,0.00741198551092512,0.011003719225502319,0.009542492515430878,0.01005429282257686,0.010174465442390326,0.009074972002857104,0.01065726877232323,0.009482440380677318,0.00949552311493098,0.008545114859986097,0.011142387990523119,0.01155467520304703,0.013199379919937623,0.00956600494443639,0.006326841440310198,0.00835683256790109,0.0032264509148658953,0.003098583107501539,0.0007550571768736095,0.003435531601209414,0.004363476875611314,0.0009750770462400166,-0.0016274897983199407,-0.005947740879133828,-0.004905799052374343,-0.003300860683721235,-0.0027801459088354075,-0.002193687713344314,-0.002242041363725307,-0.003535003945633393,-0.0049400445770454715,-0.007696616275441458,-0.006909762349411645,-0.010610188239430444,-0.014110088707433173
CTSH,-0.03687986999611553,-0.03794661953874229,-0.03813639506202032,-0.03828084463118671,-0.03882093806448572,-0.0378489699139564,-0.03982153555296837,-0.038081064343085,-0.04074433442779651,-0.04201560630180919,-0.04415037653170508,-0.040070883047659406,-0.04696047489970809,-0.0448060956382589,-0.04879396508574405,-0.04764440717568921,-0.049080134574417275,-0.04891273878254552,-0.04921631938389414,-0.0495613818371383,-0.0500219249235954,-0.05072815485166829,-0.045641194392002704,-0.03949681230421441,-0.040233099293439496,-0.04314888293839217,-0.041424597444781545,-0.04178728661082301,-0.04195911041987921,-0.04058850318529286,-0.04056960327458764,-0.03997705447090791,-0.03598571463385654,-0.03631261532357499,-0.03618633211536846,-0.037544546826798766,-0.03768966866728781,-0.03590798348234772,-0.029412572652560556,-0.030288052053762993,-0.03049753845584394,-0.03585368954470183,-0.03438923085851167,-0.03478754967529197,-0.03493453032183783,-0.03617623935380087,-0.032521744305401515,-0.035586335959341235,-0.03531106446492939,-0.03663637392540149,-0.03730176102426297,-0.037697722991770086,-0.04022695021787061,-0.037831356529693126,-0.03819118886563966,-0.037347263386039165,-0.03520927933342377,-0.03614299002237809,-0.035449452848017565,-0.035559774392362554
CMCSA,-0.01803771665920982,-0.018846492997168146,-0.019633392381379483,-0.020976699455337797,-0.01863411440785985,-0.019108497425285323,-0.015466124532298078,-0.012858613209069825,0.0038848812474340964,0.009215521609182308,0.0053976215689010235,0.0028435255279639637,0.0007311194680073158,0.00957819792053309,0.03553502979709876,0.029714083374143677,0.03146311031722125,0.03468558512069628,0.036043728407593935,0.034025790428578465,0.03498149647212052,0.03920830482641898,0.035500219446293745,0.042924946186108245,0.0398309845201717,0.04236873467969604,0.038433868371368037,0.04015646660755229,0.04306357912961073,0.044251543679972694,0.04124406957810506,0.04216716706149065,0.04540776142775518,0.04158968109367199,0.03896062003588181,0.0351011552596983,0.0395140733766102,0.038761030894783305,0.021436326456246213,0.021870558754432154,0.02320036471468949,0.021101572985606776,0.01611572981668108,0.020642745614354432,0.020052135173088445,0.01429238762657345,0.019255249804069702,0.018575968518704633,0.027157810651341485,0.026411173925551562,0.026619339569081496,0.026026645233302337,0.03142831427386683,0.03081469928166211,0.029187034645847765,0.0304371032111945,0.028209862504450067,0.029660826254742534,0.02673477532140181,0.022414217368230363
COST,0.1002553196105774,0.1010237471047857,0.10344890350377253,0.106011598822384,0.10399209129366692,0.10581274849008523,0.10369712351589087,0.11014940381490836,0.1081978181400659,0.11776170689085451,0.11973916315073896,0.12929701741354072,0.13040395415298062,0.12953618772648132,0.1268885585900693,0.1350022668723468,0.12874442159883842,0.12676075083375216,0.1344243913746797,0.13885348624528457,0.14053332980239866,0.13466652697449574,0.1398041891581792,0.13839288932241225,0.14669487392265262,0.14893546262238713,0.1520720975277778,0.14752138713785778,0.15241185733801937,0.15643171728322075,0.14560632365286835,0.14448646044200714,0.14365003794857398,0.14687286473385475,0.1409641320577931,0.13911280740071574,0.13576687088052422,0.13506493273214595,0.13998177910531157,0.1430040781024101,0.1444284180047448,0.14630822737622065,0.1501825005173177,0.1484866690484951,0.15129040800240526,0.14762806061773298,0.1461038424545197,0.14226953474541432,0.12934870463229137,0.12961693040763383,0.12734296103366788,0.13002147092056324,0.12763616130086083,0.1273144894784761,0.13191773139095528,0.13486494777141814,0.13599095391328958,0.13147814661792392,0.13640189502080274,0.1362174286961838
DLTR,0.06448395910236908,0.061731806240019574,0.06109490428545064,0.06222044078768266,0.06227304956069387,0.060912575485115035,0.061982648019019676,0.062359186896448315,0.06283873055417737,0.056225947121131506,0.051811445090857895,0.05314480018404685,0.05018748952000941,0.05742230142407326,0.05432338165055045,0.04996124632123164,0.05064909949311857,0.049662557776701505,0.049976679114971514,0.04945540163901754,0.04111948171797261,0.04114495221126126,0.04122253560714967,0.04493244465147522,0.038484752705894514,0.036870687899911395,0.03536116875064611,0.037808149212508524,0.03910364186508847,0.03675137713251908,0.03428351918763406,0.036882065283972976,0.04215172839070551,0.0452788157300556,0.04785476681394012,0.0486970198880565,0.050668776421476644,0.051122741196564514,0.047780615534082735,0.04006399784546717,0.04256417641440517,0.03436499940279542,0.0340107112269631,0.03511073952950461,0.02467492120869633,0.025329281748889376,0.025744415297641293,0.031113761847937214,0.03995457152630125,0.04084568669061034,0.0393629258117367,0.04197555249046598,0.04433497352591541,0.04088638927112548,0.041399281735652715,0.039036366169277685,0.03841976810014723,0.04327723182149708,0.04029068893144209,0.03416032124617075
EBAY,-0.01970811481368008,-0.022549049034406698,-0.01975339172890637,-0.016740048425958685,-0.017991144279804635,-0.0187843457194871,-0.017814167606756227,-0.017512510514395806,-0.010839497156793436,-0.011096223061582542,-0.015677707593037958,-0.01073028237113588,-0.009564910091929934,-0.005482643922010326,-0.008056912908523714,-0.007878386911885107,-0.006769471186924822,-0.006883608034329884,-0.00659906586138123,0.0004577468875920466,0.0004843695661167197,0.0011542849001463333,-0.0034159162800268907,-0.006101427333647744,-0.0032792964938549206,-0.000978501052319851,-4.8747320345098554e-06,0.00025713976539122607,0.0005498092895218215,0.00022994747495461154,-0.0002835477441449491,-0.0004217462509133463,-0.0009994225294881753,-0.0007368139049859293,-0.0028567294541450225,-0.0048322470434397705,-0.003298809750307982,-0.0037284757766101947,0.0017675956982611297,0.002690044075594134,0.004087999861304342,0.0033655664850598677,0.001685051783423458,-0.0011688568204650113,0.0010261747339595229,0.00039476005462461133,-0.001536096701951692,0.00024356983102458762,0.00029432293195648385,0.00649351812350718,0.009038525074664863,0.008677024090603846,0.006855592883913551,0.00744509392246815,0.008441444989750014,0.011183008739910131,0.008111427078063435,0.00786539753572902,0.003913079663824263,0.003103841378726764
EA,-0.004144815137713357,-0.002629644315947546,-0.005283852981018508,-0.005558253910868927,-0.0056367124219442915,-0.0052910184844972155,-0.004408542072907603,-0.0030616516365655874,-0.003206321830935058,-0.004744140661935365,-0.005127078482466928,-0.004786975252267553,-0.006751764244499643,-1.8341188878039788e-05,-0.001014194294010444,-0.0012254294787505437,-0.0026105857267547054,0.0009428637434577413,0.0004594866836918484,-0.00123679576479668,0.00013596154182516376,-0.000669779510974828,8.241033033891894e-05,0.001949882619290387,0.0009239256073282272,0.0006141783978745698,-0.0001882847711111516,-0.0015740097622313903,-0.0007830530747491987,-0.0003797293651357503,-0.00048198957784945096,0.000527974904234868,0.0004580557704918029,0.0007559933295576459,0.00018570716871576035,-0.001485637188967462,-0.0013415436902872169,0.0002105717631823321,0.00025707060487216524,0.002364166168028024,0.002183966370381937,0.0026403282015257396,0.0047702311193315115,0.0005208646387378033,-0.00462506430520593,-0.004151385742727408,-0.0029348283828244323,-0.0031511400891932333,-0.00013347882059343286,0.0020403412127846104,0.002434306835549585,0.0036988075898469865,0.0010935254808248362,0.003867270539358385,0.0038150959588043876,0.0029524401851453892,0.004771859949598053,0.004731681543536693,0.003948435887983617,0.004939013119432441
EQIX,-0.00044284809206618543,-0.0012113728191262222,-0.0029361897785810907,-0.002017756263078683,-5.297876973025563e-05,0.0003418474012989829,-0.001168407105867764,0.0010966331714466274,0.001906934241886974,0.002360949520714179,0.001550976000728259,0.0019015309448972215,0.0034009838553364855,0.008708156758403897,0.007187288812933151,0.006601545613427838,0.007714585837673826,0.008685056804251929,0.011602272519965639,0.008900319859893308,0.00930193107836447,0.0077714117729284354,0.005421265684460115,0.001985976243583341,0.0027759396716063637,0.004083839676883824,0.002842629062787472,0.004897933954062725,0.005105752859811935,0.00518722271889463,0.0045900191850171,0.00522905380104513,0.005963360254384174,0.006382229092668848,0.006638829579885867,0.006457973418279882,0.006912627402733722,0.005681657094895761,0.0074536220216277725,0.009769158542259876,0.011609259024990017,0.008013069638800014,0.00991488183224402,0.010227345680956852,0.009582894677000723,0.008889812628842106,0.010664306385144453,0.011974277091879735,0.011620896008792361,0.012448743632126648,0.01451240089627627,0.015865512280209694,0.016138372899818117,0.019272147771285712,0.01801700465356049,0.017653764619943595,0.02010952483014944,0.02271033995728458,0.02025833115868822,0.018188168177824406
